SHA:
CMD:go test -race -p 1 -count=1 ./...
GO:go version go1.26.5 linux/amd64
START:2026-08-27T22:30:38+08:00
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/customscompliance	1.013s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/http	1.015s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/identity	1.011s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/inbox	34.355s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/networkrouting	1.012s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/nodeoperations	1.012s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/parcelshipment	1.014s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/postgres	43.027s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/transportfulfillment	1.014s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/adapters/veconsume	1.010s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/application	1.015s
ok  	go.idp.xyz/idp-parcel/internal/visibilityexception/domain	1.011s
?   	go.idp.xyz/idp-parcel/internal/visibilityexception/ports	[no test files]
?   	go.idp.xyz/idp-parcel/migrations	[no test files]
?   	go.idp.xyz/idp-parcel/scripts/demo-seeds/migrate	[no test files]
?   	go.idp.xyz/idp-parcel/scripts/demo-seeds/seedgen	[no test files]
ok  	go.idp.xyz/idp-parcel/tests/bentocontract	6.457s
EXIT:0
END:2026-08-27T22:38:48+08:00
